scene_name,entry_condition,user_message,target,scene_text,funcs
Кредитование,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процесс подачи заявки на кредит",Могу ли я получить кредит на покупку машины?,1,"Подтверждение личности клиента. Анализ финансового состояния. - Используй функцию analyze_financial_status() для получения информации. Предложение условий кредита. - Если необходимо, предоставь варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""analyze_financial_status(), submit_credit_application()""]"
Изменение лимита кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный лимит
2) изменение условий кредитования","Нужен больший лимит, у меня расходы.",1,Подтверждение данных клиента. Проверка текущего лимита кредита. - Используй функцию check_current_limit() для получения информации. Оценка финансовой ситуации клиента. - Используй функцию assess_financial_status() для анализа. Формирование нового лимита. - Используй функцию update_credit_limit() для внесения изменений.,"[""check_current_limit(), assess_financial_status(), update_credit_limit()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредитах
2) условия получения кредита",Как мне узнать условия по автокредиту?,1,Сбор информации о клиенте. Проверка доступных кредитных продуктов. - Используй функцию get_credit_products() для получения данных. Оценка кредитоспособности. - Используй функцию assess_creditworthiness() для анализа. Предоставление условий и сроков кредита.,"[""get_credit_products(), assess_creditworthiness()""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) увеличение лимита на покупку","Я хочу поднять лимит, могу ли я сделать это?",1,Подтверждение данных клиента. Проверка текущего лимита карты. - Используй функцию check_current_limit() для получения информации. Оценка финансового состояния. - Используй функцию assess_financial_status() для анализа. Подтверждение нового лимита. - Используй функцию update_credit_limit() для внесения изменений.,"[""check_current_limit(), assess_financial_status(), update_credit_limit()""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные карты
2) кредитные лимиты","Я хочу увеличить лимит по своей кредитке, напишите, как это сделать.",1,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_current_credit_limit() для получения информации. Оценка финансового состояния. - Если необходимо, запроси дополнительные документы. Обработка запроса на увеличение лимита. - Используй функцию process_limit_increase_request() для завершения.","[""check_current_credit_limit(), process_limit_increase_request()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам","Скажите, где у вас ближайший банкомат?",0,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор суммы и срока кредита. - Предложи варианты на основе данных клиента. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) информация о задолженности по кредиту","Мне нужно знать, какие условия для нового кредита.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предоставление информации о процентных ставках и условиях. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Управление кредитным лимитом,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) тратная способность по кредиту","Я хотел бы узнать, как перевести деньги на другой счет.",0,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения информации. Предложение изменения кредитного лимита. - Если необходимо, предложи варианты. Оформление запроса на изменение кредитного лимита. - Используй функцию submit_credit_limit_change() для оформления.","[""check_credit_limit(), submit_credit_limit_change()""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная линия
2) кредитный лимит","У меня уже есть лимит, но я не помню как его увеличить?",1,Подтверждение данных клиента. Проверка текущего кредитного лимита. Оценка платежеспособности клиента. - Используй функцию assess_creditworthiness() для оценки. Обработка запроса на увеличение лимита. - Используй функцию process_limit_increase_request() для обработки.,"[""assess_creditworthiness(), process_limit_increase_request()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) изменение срока кредита",Почему у вас такие высокие ставки по вкладам?,0,"Подтверждение данных клиента. Проверка действующих условий кредита. - Используй функцию check_current_loan_terms() для получения информации. Оценка возможности изменения условий. - Если необходимо, предложи варианты. Оформление новой заявки на изменение условий кредита. - Используй функцию submit_loan_terms_change() для оформления.","[""check_current_loan_terms(), submit_loan_terms_change()""]"
Изменение условий кредитования,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение условий кредита
2) рефинансирование кредита","Мне нужно изменить условия по моему кредиту, можно это сделать?",1,"Подтверждение текущих условий кредита. Проверка возможности изменения условий. - Используй функцию check_eligibility_for_modification() для проверки. Предложение новых условий кредита. - Если возможно, перечисли предлагаемые варианты. Оформление запроса на изменение условий. - Используй функцию submit_modification_request() для обработки.","[""check_eligibility_for_modification(), submit_modification_request()""]"
Информация о кредитной линии,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) информация о текущем кредитном лимите","Я хочу узнать, могу ли я увеличить свой кредитный лимит?",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предложение условий кредитной линии. - Если необходимо, представь варианты. Получение инструкций по подаче заявки. - Используй функцию provide_application_instructions() для получения информации.","[""check_credit_history(), provide_application_instructions()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредита","Хочу узнать про ваши кредиты, может нужны какие-то документы?",1,"Сбор информации о заемщике. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предложение условий кредита. - Если необходимо, предложи варианты на выбор. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Кредит на образование,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитование
2) образовательные кредиты","Какой-то у вас там интересный кредит, расскажите!",1,"Сбор информации о программе обучения. Проверка финансового состояния клиента. - Используй функцию assess_financial_status() для анализа. Выбор подходящего плана кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит на образование. - Используй функцию submit_education_credit_application() для оформления.","[""assess_financial_status(), submit_education_credit_application()""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные карты
2) кредитование",Какой у меня кредитный лимит на карте?,1,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения информации. Оценка возможности увеличения лимита. - Если возможно, предложи варианты. Информирование клиента о результате. - Используй функцию notify_client() для уведомления.","[""check_credit_limit(), notify_client()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение срока кредита
2) изменение процентной ставки
3) рефинансирование кредита",Какой у вас самый выгодный вклад в этом месяце?,0,"Идентификация клиента. Подбор новых условий кредита. - Если необходимо, предложи варианты. Проверка возможности изменения условий. - Используй функцию check_eligibility() для получения информации. Оформление изменений. - Используй функцию update_credit_terms() для внесения изменений.","[""check_eligibility(), update_credit_terms()""]"
Кредитная история,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредитной истории
2) проверка кредитного рейтинга","Что-нибудь по кредитам расскажите, может, у меня есть долги?",0,Запрос информации о клиенте. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Информирование клиента о результатах проверки. Предложение рекомендаций по улучшению кредитной истории.,"[""check_credit_history()""]"
Кредит на обучение,"Запрос пользователя связан с одной из перечисленных тем:
1) кредит на обучение
2) условия получения кредита
3) информация о ставках","Какой там кредит на учёбу, не знаешь?",1,"Сбор информации о программе обучения. Оценка финансовых потребностей. - Используй функцию assess_financial_needs() для расчета нужной суммы. Предложение условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_loan_application() для оформления.","[""assess_financial_needs(), submit_loan_application()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение условий кредита
2) просьба о рефинансировании","Мне нужно изменить условия моего кредита. Я хочу, чтобы у меня была меньшая процентная ставка.",1,"Подтверждение идентичности клиента. Проверка текущих условий кредита. - Используй функцию check_current_terms() для получения информации. Предложение новых условий кредита. - Если необходимо, дай рекомендации. Оформление изменения условий кредита. - Используй функцию submit_terms_change() для оформления.","[""check_current_terms(), submit_terms_change()""]"
Изменение лимита по кредиту,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) увеличение лимита по кредитной карте","Здравствуйте, сколько у вас счетов? Я вот планирую взять кредит.",0,"Подтверждение данных клиента. Проверка текущего лимита кредитной карты. - Используй функцию check_current_limit() для получения информации. Оценка возможностей изменения лимита. - Если необходимо, предложи варианты. Принятие решения по изменению лимита. - Используй функцию update_credit_limit() для внесения изменений.","[""check_current_limit(), update_credit_limit()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования",Какой у вас курс валют?,0,"Подтверждение личности клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Обсуждение условий кредита. - Если необходимо, предложи варианты. Оформление кредитного договора. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history(), submit_credit_application()""]"
Проверка состояния кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) текущий баланс кредита
2) история платежей по кредиту",Какие акции у вас сейчас есть?,0,Подтверждение данных клиента. Проверка текущего баланса кредита. - Используй функцию check_credit_balance() для получения информации. Просмотр графика платежей. - Используй функцию get_payment_schedule() для отображения. Выяснение возможности досрочного погашения. - Используй функцию check_early_repayment_option() для проверки.,"[""check_credit_balance(), get_payment_schedule(), check_early_repayment_option()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) ставки по кредиту",Как я могу узнать о ставках по ипотечному кредиту?,1,Сбор информации о клиенте. Проверка условий кредитования. - Используй функцию check_loan_conditions() для получения информации. Предоставление информации о необходимых документах. Ответ на возможные вопросы клиента.,"[""check_loan_conditions()""]"
Условия кредитования,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам","Мне нужно узнать, как открыть депозит в вашем банке.",0,"Запрос информации о необходимых документах. Определение максимальной суммы кредита. - Используй функцию calculate_max_loan_amount() для получения данных. Выбор сроков кредитования. - Если необходимо, предложи варианты. Предоставление информации о процентной ставке. - Используй функцию get_interest_rate() для получения данных.","[""calculate_max_loan_amount(), get_interest_rate()""]"
Рефинансирование кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия рефинансирования
2) процентные ставки по кредитам
3) изменение сроков кредита","Я хотел бы узнать, какие у вас есть вклады.",0,Подтверждение информации о текущем кредите. Оценка возможности рефинансирования. - Используй функцию evaluate_refinancing_options() для анализа. Предложение новых условий кредита. - Предоставь несколько альтернатив. Оформление заявки на рефинансирование. - Используй функцию submit_refinancing_application() для оформления.,"[""evaluate_refinancing_options(), submit_refinancing_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) получение информации о ставках по кредиту
2) условия кредитования","Мне нужно поменять деньги, сколько будет за доллар?",0,Подтверждение идентификации клиента. Проверка доступных кредитных предложений. - Используй функцию get_credit_offers() для получения информации. Предоставление условий и ставок по кредитам. Заполнение заявки на интересующий кредит. - Используй функцию create_credit_request() для оформления.,"[""get_credit_offers(), create_credit_request()""]"
