scene_name,entry_condition,user_message,category,target,scene_text,funcs
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки по кредиту
2) пересмотр срока погашения кредита","Я просто не знаю, как с кредитами обращаться.",Кредитование,0,Проверка текущих условий кредита. Анализ платежеспособности клиента. - Используй функцию <анализ_платежеспособности>. Предложение новых условий с учетом текущих рыночных ставок. - Функция <предложить_новые_условия>. Согласование нового графика платежей. - Функция <согласовать_платежи>. Оформление изменения условий кредита. - Используй функцию <оформить_изменение>.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u043f\u043b\u0430\u0442\u0435\u0436\u0435\u0441\u043f\u043e\u0441\u043e\u0431\u043d\u043e\u0441\u0442\u0438"", ""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0438\u0442\u044c_\u043d\u043e\u0432\u044b\u0435_\u0443\u0441\u043b\u043e\u0432\u0438\u044f"", ""\u0441\u043e\u0433\u043b\u0430\u0441\u043e\u0432\u0430\u0442\u044c_\u043f\u043b\u0430\u0442\u0435\u0436\u0438"", ""\u043e\u0444\u043e\u0440\u043c\u0438\u0442\u044c_\u0438\u0437\u043c\u0435\u043d\u0435\u043d\u0438\u0435""]"
Восстановление доступа к мобильному банку,"Запрос пользователя связан с одной из перечисленных тем:
1) забытый пароль
2) сброс доступа к учетной записи","Мне нужно поменять номер телефона в банке, посмотрите, может, я смогу зайти!",Мобильный банкинг,0,Идентификация клиента по номеру телефона. Проверка наличия зарегистрированного адреса электронной почты. Отправка кода подтверждения на указанный адрес электронной почты. - Используй функцию <sendConfirmationEmail()> Ввод кода подтверждения для доступа к аккаунту. Создание нового пароля и завершение восстановления доступа.,"[""sendConfirmationEmail()""]"
Подтверждение безопасности счета,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная активность на счете
2) подозрение на взлом аккаунта","Я заметил странные транзакции на своем счете, что мне делать?",Безопасность счета,1,Проверка личной информации клиента. Анализ активности на счете. - Используй функцию <analyzeAccountActivity()>. Верификация устройства входа. - Функция <verifyLoginDevice()>. Проверка на наличие подозрительных транзакций. - Используй функцию <checkSuspiciousTransactions()>. Подтверждение безопасности счета и уведомление клиента.,"[""analyzeAccountActivity()"", ""verifyLoginDevice()"", ""checkSuspiciousTransactions()""]"
Проблемы с дебетовой картой,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка дебетовой карты
2) ошибка при оплате картой","Моя дебетовая карта заблокирована, что делать?",Проблемы с картами,1,Проверка статуса дебетовой карты. Определение причины блокировки. - Используй функцию <check_card_status>. Предложение вариантов разблокировки карты. - Используй функцию <offer_unlock_options>. Запрос дополнительной информации для решения проблемы. - Функция <request_additional_info>.,"[""check_card_status"", ""offer_unlock_options"", ""request_additional_info""]"
Информация о транзакции,Запрос пользователя связан с одной из перечисленных тем: 1) информация о проведенной транзакции 2) запрос о возврате денег,"Недавно я сделал покупку, но не вижу транзакции в своем аккаунте. Можешь помочь?",Транзакции,1,Проверка идентификации клиента. Получение списка последних транзакций. - Используй функцию <get_recent_transactions()>. Анализ деталей выбранной транзакции. - Функция <analyze_transaction_details()>. Получение информации о статусе транзакции. - Используй функцию <check_transaction_status()>. Подведение итогов и рекомендации по дальнейшим действиям.,"[""get_recent_transactions()"", ""analyze_transaction_details()"", ""check_transaction_status()""]"
Консультация по страховке,"Запрос пользователя связан с одной из перечисленных тем:
1) уточнение условий страхования
2) проверка статуса полиса
3) подача иска по страховому случаю","Слышал про страховки, какие у вас предложения?",Страхование,0,Проверка потребностей клиента. Определение типов страховок. - Используй функцию <getInsuranceTypes()> Предоставление информации о полисах. - Функция <fetchPolicyDetails()>. Согласование условий страховки. - Функция <agreeOnTerms()>.,"[""getInsuranceTypes()"", ""fetchPolicyDetails()"", ""agreeOnTerms()""]"
Консультация по инвестициям в акции,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) выбор акций для покупки",Какую акцию мне купить? Я хочу инвестировать в технологии.,Инвестиции,1,Проверка инвестиционного профиля клиента. Анализ рынка акций. - Используй функцию <fetch_market_data>. Определение рекомендованных акций. - Предложи варианты с использованием функции <generate_recommendations>. Обсуждение рисков инвестирования. - Функция <assess_risks>. Оформление инвестиционного плана.,"[""fetch_market_data"", ""generate_recommendations"", ""assess_risks""]"
Условия кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) процентные ставки по кредитам",Какой сегодня день?,Кредитование,0,Проверка кредитной истории клиента. Определение доступных сумм кредита. - Используй функцию <calculateLoanAmounts()> Выбор подходящих сроков кредита. - Предложи варианты с использованием функции <suggestLoanTerms()>. Оценка процентной ставки. - Функция <calculateInterestRate()>. Согласование и подписание условий кредита. - Используй функцию <finalizeLoanAgreement()>.,"[""calculateLoanAmounts()"", ""suggestLoanTerms()"", ""calculateInterestRate()"", ""finalizeLoanAgreement()""]"
Восстановление доступа к мобильному банкингу,"Запрос пользователя связан с одной из перечисленных тем:
1) забытый пароль
2) блокировка аккаунта",Почему у меня нет доступа в мобильное приложение?,Мобильный банкинг,0,Проверка личности клиента. Отправка кода подтверждения на зарегистрированный номер телефона. - Используй функцию <send_confirmation_code>. Ввод кода подтверждения для подтверждения личности. - Используй функцию <validate_confirmation_code>. Обновление данных доступа в системе.,"[""send_confirmation_code"", ""validate_confirmation_code""]"
Проверка безопасности счета,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная активность на счете
2) запрос на изменение пароля",Почему у меня такие большие списания? Проверьте это!,Безопасность счета,0,Идентификация клиента. Проверка активности транзакций. - Используй функцию <check_transaction_activity>. Оценка рисков. - Функция <assess_risk>. Верификация контактных данных. - Используй функцию <verify_contact_info>. Заключение проверки. - Функция <finalize_security_check>.,"[""check_transaction_activity"", ""assess_risk"", ""verify_contact_info"", ""finalize_security_check""]"
Перевыпуск карты после кражи,"Запрос пользователя связан с одной из перечисленных тем:
1) кража карты
2) необходимость перевыпуска карты","Моя карта была украдена, что мне делать?",Проблемы с картами,1,Уведомление клиента о необходимости перевыпуска карты. Проверка статуса кражи и блокировка старой карты. - Используй функцию <blockOldCard> Создание заявки на перевыпуск карты. - Предложи варианты с использованием функции <generateNewCardRequest>.,"[""blockOldCard"", ""generateNewCardRequest""]"
Проверка статуса транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка истории транзакций
2) уточнение статуса перевода",Какие у вас услуги банковского обслуживания?,Транзакции,0,Получение информации о совершенной транзакции. Проверка статуса транзакции. - Используй функцию <checkTransactionStatus>. Вывод информации о результатах проверки. - Функция <generateStatusReport>. Уведомление клиента о статусе транзакции.,"[""checkTransactionStatus"", ""generateStatusReport""]"
Оформление страховки,"Запрос пользователя связан с одной из перечисленных тем:
1) получение информации о страховках
2) оформление новой страховки
3) изменение существующей страховки",Хочу узнать о страховке для автомобиля.,Страхование,1,Проверка данных клиента. Оценка типа страховки. - Используй функцию <определитьТипСтраховки()>. Сбор необходимых документов. Подготовка полиса. - Используй функцию <создатьПолис()>.,"[""\u043e\u043f\u0440\u0435\u0434\u0435\u043b\u0438\u0442\u044c\u0422\u0438\u043f\u0421\u0442\u0440\u0430\u0445\u043e\u0432\u043a\u0438"", ""\u0441\u043e\u0437\u0434\u0430\u0442\u044c\u041f\u043e\u043b\u0438\u0441""]"
Процесс оформления кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования
3) необходимые документы для кредита","Я хочу узнать о кредитах, как мне это сделать?",Кредитование,1,Проверка личных данных клиента. Оценка кредитной истории. - Используй функцию <оценка_кредитной_истории> Определение суммы и срока кредита. - Предложи варианты с использованием функции <расчет_кредита>. Подготовка документации. - Функция <подготовка_документов>. Заключение договора. - Используй функцию <оформление_договора>.,"[""\u043e\u0446\u0435\u043d\u043a\u0430_\u043a\u0440\u0435\u0434\u0438\u0442\u043d\u043e\u0439_\u0438\u0441\u0442\u043e\u0440\u0438\u0438"", ""\u0440\u0430\u0441\u0447\u0435\u0442_\u043a\u0440\u0435\u0434\u0438\u0442\u0430"", ""\u043f\u043e\u0434\u0433\u043e\u0442\u043e\u0432\u043a\u0430_\u0434\u043e\u043a\u0443\u043c\u0435\u043d\u0442\u043e\u0432"", ""\u043e\u0444\u043e\u0440\u043c\u043b\u0435\u043d\u0438\u0435_\u0434\u043e\u0433\u043e\u0432\u043e\u0440\u0430""]"
Восстановление доступа к мобильному банкингу,"Запрос пользователя связан с одной из перечисленных тем:
1) проблемы с входом в мобильное приложение
2) забытый пароль или логин","Не помню, как меня зовут в вашем приложении, кто вы вообще?",Мобильный банкинг,1,Проверка личных данных клиента. Идентификация телефона клиента. - Используй функцию <проверка_номера_телефона>. Отправка кода восстановления на зарегистрированный номер. - Функция <отправка_кода>. Проверка введенного кода. - Используй функцию <верификация_кода>. Подтверждение восстановления доступа.,"[""\u043f\u0440\u043e\u0432\u0435\u0440\u043a\u0430_\u043d\u043e\u043c\u0435\u0440\u0430_\u0442\u0435\u043b\u0435\u0444\u043e\u043d\u0430"", ""\u043e\u0442\u043f\u0440\u0430\u0432\u043a\u0430_\u043a\u043e\u0434\u0430"", ""\u0432\u0435\u0440\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u044f_\u043a\u043e\u0434\u0430""]"
Обработка подозрительных транзакций,Запрос пользователя связан с одной из перечисленных тем: 1) подозрительные операции 2) несанкционированные списания,"Походу, у меня какие-то мошенники списали бабки, хз вообще что делать.",Безопасность счета,1,Идентификация подозрительной транзакции. Проверка информации о клиенте. - Используй функцию <get_client_info()>. Сравнение с историей транзакций клиента. Уведомление клиента о подозрительной транзакции. - Используй функцию <send_alert_to_client()>.,"[""get_client_info()"", ""send_alert_to_client()""]"
Проблема с потерей карты,"Запрос пользователя связан с одной из перечисленных тем:
1) потеря карты
2) блокировка карты","Вы можете рассказать, какие у вас есть акции на кредиты?",Проблемы с картами,0,Проверка данных клиента. Определение возможности блокировки карты. - Используй функцию <block_card>. Сбор информации о последнем использовании карты. Оформление новой карты. - Предложи варианты с использованием функции <issue_new_card>.,"[""block_card"", ""issue_new_card""]"
Проверка статуса транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) запрос информации о проведенной транзакции
2) уточнение статуса перечисления средств","Я хочу узнать, что произошло с моим переводом на 5000 рублей, который был сделан вчера.",Транзакции,1,Получение информации о транзакции. Проверка текущего статуса транзакции. - Используй функцию <getTransactionStatus()>. Подсчет времени обработки транзакции. - Используй функцию <calculateProcessingTime()>. Вывод информации о завершении или отклонении транзакции.,"[""getTransactionStatus()"", ""calculateProcessingTime()""]"
Консультация по страхованию имущества,"Запрос пользователя связан с одной из перечисленных тем:
1) страхование жилья
2) страхование автомобилей","Мне нужно застраховать свою квартиру, подскажите, что для этого требуется?",Страхование,1,"Сбор информации о типе имущества, подлежащего страхованию. Оценка рисков и определение страховой суммы. - Используй функцию <calculateRiskAssessment>. Предложение различных тарифов и планов страхования. - Используй функцию <offerInsurancePlans>. Заполнение анкеты для оформления страховки. - Используй функцию <processInsuranceApplication>.","[""calculateRiskAssessment"", ""offerInsurancePlans"", ""processInsuranceApplication""]"
Консультация по инвестициям на фондовом рынке,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) диверсификация портфеля
3) анализ рисков",Почему моя карта не работает? Я же ее правильно настроил.,Инвестиции,0,"Определение инвестиционных целей клиента. Анализ текущего портфеля активов. - Используй функцию <анализПортфеля()>. Предложение различных инвестиционных стратегий. Оценка рисков, связанных с инвестициями. - Функция <оценкаРисков()>.","[""\u0430\u043d\u0430\u043b\u0438\u0437\u041f\u043e\u0440\u0442\u0444\u0435\u043b\u044f"", ""\u043e\u0446\u0435\u043d\u043a\u0430\u0420\u0438\u0441\u043a\u043e\u0432""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) лимит на кредитной карте
2) повышение лимита
3) временное увеличение лимита",Как мне поднять лимит на карте? У меня Visa.,Мобильный банкинг,1,Проверка идентификационных данных клиента. Анализ текущего лимита и его использования. Оценка кредитной истории. - Используй функцию <анализКредитнойИстории>. Принятие решения об изменении лимита.,"[""\u0430\u043d\u0430\u043b\u0438\u0437\u041a\u0440\u0435\u0434\u0438\u0442\u043d\u043e\u0439\u0418\u0441\u0442\u043e\u0440\u0438\u0438""]"
Обработка подозрительной транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительное списание
2) уведомление о мошеннической активности
3) блокировка счета из-за подозрительных операций","Чё это за 5000 рублей списали с моего счета, я ничего не покупал?",Безопасность счета,1,Проверка недавних транзакций клиента. Анализ подозрительных паттернов. - Используй функцию <анализ_транзакций>. Уведомление клиента о подозрительной транзакции. - Функция <отправка_уведомления>. Запрос дополнительной информации у клиента. - Используй функцию <запрос_данных>. Принятие решения о блокировке карты. - Функция <блокировка_карты>.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u0442\u0440\u0430\u043d\u0437\u0430\u043a\u0446\u0438\u0439"", ""\u043e\u0442\u043f\u0440\u0430\u0432\u043a\u0430_\u0443\u0432\u0435\u0434\u043e\u043c\u043b\u0435\u043d\u0438\u044f"", ""\u0437\u0430\u043f\u0440\u043e\u0441_\u0434\u0430\u043d\u043d\u044b\u0445"", ""\u0431\u043b\u043e\u043a\u0438\u0440\u043e\u0432\u043a\u0430_\u043a\u0430\u0440\u0442\u044b""]"
Блокировка карты после кражи,"Запрос пользователя связан с одной из перечисленных тем:
1) кража карты
2) подозрительная транзакция","Мне нужно узнать баланс, не могу до банка дозвониться.",Проблемы с картами,0,Проверка данных клиента. Проверка активности карты. - Используй функцию <check_card_activity()>. Идентификация последней транзакции. - Функция <get_last_transaction()>. Блокировка карты. - Используй функцию <block_card()>. Подтверждение блокировки и предоставление инструкции дальше. - Функция <provide_followup_instructions()>.,"[""check_card_activity()"", ""get_last_transaction()"", ""block_card()"", ""provide_followup_instructions()""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о текущем страховом полисе
2) продление страхового полиса
3) проверка статуса страхового возмещения",Как воспользоваться страховкой на случай болезни?,Страхование,0,Проверка идентификационных данных клиента. Извлечение информации о действующих полисах. - Используй функцию <getActivePolicies()> Определение условий полиса. - Предложи варианты с использованием функции <offerPolicyOptions()>. Обработка запросов по условиям страхования. - Функция <processInsuranceInquiry()>.,"[""getActivePolicies()"", ""offerPolicyOptions()"", ""processInsuranceInquiry()""]"
Проверка статуса кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) статус заявки на кредит
2) изменение условий кредита","Я хочу узнать, как продвигается моя заявка на кредит.",Кредитование,1,Получение информации о текущем статусе кредита. Проверка актуальности данных клиента. - Используй функцию <validate_client_data>. Определение срока погашения кредита. Анализ платежной истории. - Функция <analyze_payment_history>. Предоставление информации о необходимых действиях для продолжения сотрудничества.,"[""validate_client_data"", ""analyze_payment_history""]"
Восстановление доступа к мобильному банкингу,"Запрос пользователя связан с одной из перечисленных тем:
1) восстановление пароля
2) блокировка доступа к приложению","Я забыл свой пароль для мобильного банка, как мне его восстановить?",Мобильный банкинг,1,Проверка личности клиента. Подтверждение контактной информации. - Используй функцию <send_verification_code>. Обработка запроса на восстановление доступа. Согласование нового пароля. - Функция <update_password>. Уведомление клиента о восстановлении доступа.,"[""send_verification_code"", ""update_password""]"
Мониторинг подозрительных транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) неожиданные списания с счета
2) подозрительная активность на счете","Можно узнать, сколько у меня баллов по программе лояльности?",Безопасность счета,0,Проверка недавних транзакций клиента. Сравнение транзакций с историей клиента. - Используй функцию <compare_transactions()> Определение потенциальных рисков и фиктивных операций. Сообщение клиенту о выявленных аномалиях. - Функция <notify_client()> Рекомендации по дальнейшим действиям для клиента.,"[""compare_transactions()"", ""notify_client()""]"
Снятие блокировки карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) проблемы с использованием карты","Почему у меня такой большой лимит на кредит? В общем, мне нужно поговорить о карте.",Проблемы с картами,0,Проверка состояния карты. Определение причин блокировки. - Используй функцию <getBlockReason>. Сбор необходимых данных для разблокировки. - Функция <collectUserData>. Принятие решения о снятии блокировки. - Выполни функцию <reviewRequest>. Уведомление клиента о статусе разблокировки. - Используй функцию <notifyClient>.,"[""getBlockReason"", ""collectUserData"", ""reviewRequest"", ""notifyClient""]"
Информация о последних транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) последние банковские операции
2) информация о транзакциях",Как дела у банка? Я тут думал про проценты по вкладам.,Транзакции,0,Проверка идентификации клиента. Получение списка транзакций. - Используй функцию <getTransactionList()>. Фильтрация транзакций по дате и категории. Проверка статуса каждой транзакции. - Используй функцию <checkTransactionStatus()>. Предоставление клиенту итогового отчета о транзакциях.,"[""getTransactionList()"", ""checkTransactionStatus()""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) уточнение условий страхования
2) проверка статуса полиса
3) изменение условий страхования",Почему у вас такие высокие ставки на кредиты?,Страхование,0,Проверка наличия полиса у клиента. Сбор информации о типе полиса. - Используй функцию <getPolicyType()>. Предоставление деталей о покрытии. - Используй функцию <getCoverageDetails()>. Определение сроков действия полиса. Выяснение условий продления. - Используй функцию <getRenewalConditions()>.,"[""getPolicyType()"", ""getCoverageDetails()"", ""getRenewalConditions()""]"
Консультация по инвестиционным продуктам,Запрос пользователя связан с одной из перечисленных тем: 1) инвестиции в акции 2) накопительные счета,Какой у вас самый высокий процент по вкладам?,Инвестиции,0,Анализ финансовых целей клиента. Выбор подходящих инвестиционных инструментов. - Используй функцию <suggest_investment_options>. Оценка рисков и доходности. - Функция <calculate_risk_and_return>. Оформление инвестиционного предложения.,"[""suggest_investment_options"", ""calculate_risk_and_return""]"
Изменение условий кредитного договора,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение срока кредита
2) пересмотр процентной ставки
3) досрочное погашение кредита","Хотелось бы изменить свой кредит, можем поговорить?",Кредитование,1,"Проверка текущих условий кредитного договора. Оценка финансовой ситуации клиента. - Используй функцию <analyze_financial_status>. Предложение новых условий, основанных на запросе клиента. - Функция <suggest_new_terms>. Согласование новых условий с клиентом. Оформление изменений в договоре. - Используй функцию <update_contract>.","[""analyze_financial_status"", ""suggest_new_terms"", ""update_contract""]"
Информация о мобильном банкинге,"Запрос пользователя связан с одной из перечисленных тем:
1) использование мобильного приложения
2) функции мобильного банкинга","Что-то новое с вашим мобильным банкингом? Я слышал, что теперь можно что-то там делать.",Мобильный банкинг,1,Проверка доступности мобильного банкинга для клиента. Объяснение преимуществ использования мобильного приложения. - Используй функцию <get_app_benefits>. Инструкции по скачиванию и установке приложения. - Функция <provide_installation_guide>. Помощь в настройке безопасности для мобильного банкинга. - Используй функцию <setup_security_features>. Ответы на часто задаваемые вопросы о мобильном банкинге.,"[""get_app_benefits"", ""provide_installation_guide"", ""setup_security_features""]"
